Management Accounts QSP ESS B.V. - Q3 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance sheet,,12/31/2018,,3/31/2019,,,,,,,,,,,,,,,,,,,,,,6/30/2025,,9/30/2025,Commentary on balance sheet
(Vacancy costs),,"  (74,072)","  (10,048)","  (91,381)","  (50,226)","  (18,630)","  (28,457)","  (9,968)","  (52,711)","  (4,974)","  (5,140)","  (1,453)","  (6,012)","  (7,008)","  (3,789)","  (9,522)","  (9,644)","  (8,306)","  (6,138)","  (13,194)","  (44,728)","  (10,335)","  167,420 ","  (8,776)","  (6,470)",#ERROR!,,,
(Service costs),,"  (561,128)","  (173,161)","  (599,128)","  (178,493)","  (162,849)","  (74,503)","  (133,343)","  (127,725)","  (155,500)","  (191,434)","  (271,928)","  (195,260)","  (239,859)","  (220,950)","  (173,719)","  (167,955)","  (235,052)","  302,594 ","  43,221 ","  (95,668)","  (77,542)","  140,633 ","  (131,053)","  (164,115)",#ERROR!,,,
Service charges ,,"  46,055 ","  (8,601)","  (34,479)","  (53,675)","  (8,063)","  70,127 ","  29,106 ","  (8,038)","  4,439 ","  (31,513)","  (95,608)","  (36,673)","  103,792 ","  (59,695)","  (17,495)","  (11,526)","  (77,639)","  455,138 ","  30,311 ","  (140,681)","  (11,405)","  231,580 ","  (139,535)","  (170,284)",#ERROR!,,"-66,821.80",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Maintenance & repair costs actual),,"  (1,015,339)","  (292,677)","  (1,320,738)","  (364,950)","  (473,207)","  (578,341)","  (491,958)","  (204,327)","  (433,307)","  (1,043,801)","  (178,607)","  (230,457)","  (205,277)","  (324,266)","  (183,914)","  (180,973)","  (244,925)","  (423,015)","  (242,739)","  (353,143)","  (308,364)","  (245,165)","  (335,314)","  (297,752)","  (1,169,344)",,,
(Owners society costs (VVE)),,"  (630,781)","  (132,837)","  (553,016)","  (169,899)","  (143,177)","  (9,198)","  (96,652)","  (136,830)","  (157,568)","  (186,236)","  (167,096)","  (146,899)","  (135,096)","  (109,128)","  (146,200)","  (179,786)","  (187,098)","  (160,679)","  (178,643)","  (262,945)","  (188,400)","  (168,201)","  (199,784)","  (182,458)",#ERROR!,,,
(Insurance costs),,"  (85,029)","  (17,391)","  (44,691)","  (28,966)","  (28,072)","  (13,908)",  (321),"  (25,980)","  (28,130)","  (29,692)","  (29,598)","  (29,221)","  (29,221)","  (27,618)","  (29,191)","  (44,011)","  (28,766)","  (38,355)","  (28,580)","  (37,421)","  (21,435)","  (18,609)","  (29,994)","  (47,533)",#ERROR!,,,
(Landlord tax costs),,"  (568,182)",  -   ,"  (568,182)",  (671),"  (526,216)",  -   ,  -   ,"  (531,958)",  -   ,"  (129,402)","  (119,943)","  (119,943)","  (119,943)","  (119,943)",  -   ,"  6,167 ",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,"815,230.68",
(Property tax),,"  (316,136)","  (98,936)","  (97,285)","  (82,857)","  (65,301)","  (65,007)","  (47,461)","  (78,467)","  (80,091)","  (82,972)","  (54,979)","  (61,017)","  (70,989)","  (57,028)","  (85,118)","  (80,512)","  (85,689)","  (81,195)","  (87,160)","  (66,178)","  (66,063)","  (69,697)","  (80,016)","  (39,004)",#ERROR!,,,
"(Water collection, sewerage costs)",,"  (117,497)","  (32,635)","  (57,510)","  (89,442)","  (47,488)","  (30,955)","  (39,642)","  (51,289)","  (40,442)","  (47,117)","  (32,328)","  (46,592)","  (54,734)","  (36,124)","  (103,697)","  (53,573)","  (44,642)","  (3,225)","  (40,756)","  (72,782)","  (53,429)","  (40,063)","  (100,790)","  (166,204)",#ERROR!,,,
(Agent costs),,  -   ,  -   ,,,"  (20,000)",  -   ,  -   ,"  (20,000)","  (20,000)",  -   ,  -   ,"  (20,000)","  (20,000)",  -   ,  -   ,  -   ,"  (40,000)",  -   ,  -   ,  -   ,  -   ,"  (40,000)",  -   ,  -   ,#ERROR!,,,
(Brokerage costs),,"  (157,427)","  (68,270)","  (253,035)","  (85,400)","  (39,079)","  (53,976)","  (62,550)","  (61,064)","  (63,411)","  (88,242)","  (41,825)","  (56,676)","  (51,143)","  (61,679)","  (39,351)","  (42,090)","  (56,784)","  (80,381)","  (56,181)","  (46,357)","  (47,807)","  (31,244)","  (62,949)","  (33,709)",#ERROR!,,,
(Other costs),,"  (105,672)","  (40,798)","  (79,693)","  (52,792)","  (9,083)","  (32,796)","  (6,671)","  (9,272)","  (11,240)","  (9,572)","  (2,295)","  (21,585)","  (18,344)","  (323,708)","  (101,637)","  (101,457)","  (109,268)","  (141,846)","  (68,647)","  (64,063)","  (26,045)","  (58,596)","  (53,580)","  (52,346)",#ERROR!,,,
(Accountant costs),,"  (122,608)","  (8,710)","  (87,395)","  (21,363)","  (16,927)","  (21,556)","  (6,339)","  (24,945)","  (31,660)","  (2,613)","  (4,564)","  (17,203)","  (25,190)","  (48,042)","  (5,735)","  (52,124)","  (3,123)","  (24,818)","  (39,840)","  (43,291)","  (8,698)","  (10,536)","  (37,717)","  (42,192)",#ERROR!,,,
(Advisory costs),,"  (165,685)",  -   ,"  (10,890)",  -   ,"  (37,004)","  (6,268)","  (4,418)","  2,123 ","  (8,170)","  (1,226)","  (12,100)","  (10,588)","  (24,200)","  (9,680)","  (11,000)","  (13,200)","  (8,800)","  (11,000)","  (13,200)","  (9,900)","  (100,650)","  (11,000)","  (11,168)","  (66,842)",#ERROR!,,,
(Intercompany costs),,,,,,,,,,,,,,,"  (847,000)",  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,,36.63,
Property related expenses,,"  (3,284,356)","  (692,254)","  (3,072,433)","  (896,340)","  (1,405,554)","  (812,005)","  (756,012)","  (1,142,009)","  (874,019)","  (1,620,873)","  (643,336)","  (760,180)","  (754,136)","  (1,964,216)","  (705,842)","  (741,559)","  (809,095)","  (964,514)","  (755,746)","  (956,080)","  (820,891)","  (693,112)","  (911,312)","  (928,039)",#ERROR!,,"3,177,468.82",
Net rental income,,"  7,571,197 ","  2,027,526 ","  7,813,862 ","  1,783,924 ","  1,384,025 ","  2,052,484 ","  2,051,177 ","  1,613,356 ","  1,931,503 ","  1,170,423 ","  2,098,257 ","  2,034,507 ","  2,238,670 ","  868,041 ","  2,180,641 ","  2,175,305 ","  2,116,264 ","  2,501,477 ","  2,288,166 ","  1,896,764 ","  2,244,232 ","  2,618,394 ","  2,014,628 ","  1,969,129 ",#ERROR!,,,
(Management fees),,"  (472,384)","  (119,183)","  (477,299)","  (118,277)","  (121,669)","  (121,336)","  (120,736)","  (119,839)","  (121,422)","  (121,295)","  (121,680)","  (121,957)","  (124,886)","  (125,402)","  (126,035)","  (126,358)","  (130,076)","  (129,917)","  (129,820)","  (130,121)","  (134,134)","  (135,444)","  (137,751)","  (135,540)",#ERROR!,,,
(Management fee Shareholder),,"  (16,335)","  (4,500)","  (20,835)","  (5,445)","  (5,445)","  (5,445)","  (5,445)","  (5,445)","  (5,445)","  (5,445)","  (5,445)","  (1,815)","  (1,815)","  (1,815)","  (1,500)","  (1,500)","  (1,500)",  -   ,"  (1,500)","  (1,500)","  (1,500)","  (1,500)","  (1,500)","  (1,500)",#ERROR!,,,
EBITDA rental operation,,"  7,082,478 ","  1,903,844 ","  7,315,729 ","  1,660,202 ","  1,256,911 ","  1,925,703 ","  1,924,996 ","  1,488,072 ","  1,804,636 ","  1,043,684 ","  1,971,133 ","  1,910,736 ","  2,111,969 ","  740,824 ","  2,053,107 ","  2,047,447 ","  1,984,688 ","  2,371,560 ","  2,156,846 ","  1,765,142 ","  2,108,598 ","  2,481,450 ","  1,875,377 ","  1,832,089 ",#ERROR!,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash proceeds sale,,"  3,561,500 ","  1,019,250 ","  4,580,750 ","  1,930,000 ","  914,000 ","  2,385,500 ","  2,073,000 ","  1,493,253 ","  3,405,253 ","  2,116,000 ","  781,000 ","  664,000 ","  858,500 ","  275,000 ","  215,000 ","  490,007 ","  1,303,664 ","  2,171,300 ","  1,593,500 ","  1,418,500 ","  1,422,000 ",  -   ,"  1,753,119 ","  762,500 ","  3,937,619 ",,"19,354.02",
(Cost of sales),,"  (2,341,968)","  (625,566)","  (2,967,534)","  (1,030,018)","  (428,353)","  (1,326,917)","  (1,085,567)","  (857,011)","  (1,427,070)","  (753,527)","  (290,543)","  (240,042)","  (313,904)","  (93,015)","  (100,337)","  (174,131)","  (579,455)","  (748,685)","  (602,991)","  (514,857)","  (458,152)",  -   ,"  (550,996)","  (195,524)",#ERROR!,,"-1,939,094.00",
(Brokerage costs),, Included above , Included above , Included above , Included Above , Included Above , Included Above , Included Above , Included Above , Included Above ,,,,,,,,,,,,,,,,,,,
EBITDA from Sales,,"  1,219,532 ","  393,684 ","  1,613,216 ","  899,982 ","  485,647 ","  1,058,583 ","  987,433 ","  636,242 ","  1,978,183 ","  1,362,473 ","  490,457 ","  423,958 ","  544,596 ","  181,985 ","  114,663 ","  315,876 ","  724,209 ","  1,422,615 ","  990,509 ","  903,643 ","  963,848 ",  -   ,"  1,202,123 ","  566,976 ",#ERROR!,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total EBITDA,,"  8,302,010 ","  2,297,528 ","  8,928,945 ","  2,560,184 ","  1,742,558 ","  2,984,286 ","  2,912,429 ","  2,124,314 ","  3,782,819 ","  2,406,157 ","  2,461,590 ","  2,334,694 ","  2,656,565 ","  922,809 ","  2,167,770 ","  2,363,323 ","  2,708,897 ","  3,794,175 ","  3,147,355 ","  2,668,785 ","  3,072,446 ","  2,481,450 ","  3,077,500 ","  2,399,065 ",#ERROR!,,,
(Depreciation),,"  (2,698,592)","  (674,648)","  (3,052,517)","  (650,161)","  (653,662)","  (656,408)","  (642,938)","  (653,151)","  (667,313)","  (679,632)","  (682,456)","  (682,714)","  (695,326)","  (707,759)","  (707,631)","  (706,154)","  (722,958)","  (747,378)","  (753,602)","  (752,120)","  (762,225)","  (793,542)","  (811,996)","  (822,632)",#ERROR!,,"3,268,003.00",
EBIT,,"  5,603,418 ","  1,622,880 ","  5,876,428 ","  1,910,023 ","  1,088,896 ","  2,327,878 ","  2,269,491 ","  1,471,163 ","  3,115,506 ","  1,726,525 ","  1,779,134 ","  1,651,980 ","  1,961,239 ","  215,050 ","  1,460,139 ","  1,657,169 ","  1,985,939 ","  3,046,797 ","  2,393,753 ","  1,916,665 ","  2,310,221 ","  1,687,908 ","  2,265,504 ","  1,576,433 ",#ERROR!,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"  (832,383)",,,,,,,,,,,,,,,,,,,,,,,,,,,
(Net interest expenses - SFA),,"  (1,632,628)","  (503,883)","  (2,133,987)","  (513,800)","  (486,625)","  (473,890)","  (457,533)","  (448,423)","  (424,302)","  (416,515)","  (401,338)","  (401,960)","  (402,765)","  (1,046,415)","  (1,389,731)","  (1,669,590)","  (1,865,024)","  (1,976,297)","  (1,936,756)","  (1,614,178)","  (1,936,909)","  (1,760,390)","  (1,484,089)","  (1,384,973)",#ERROR!,,"6,306,244.15",
(Prepaid derivatives transaction- SFA),,"  (845,000)",  -   ,  -   , - ,,,,,,,,,,"  (110,650)","  (110,650)","  (110,650)","  (110,650)","  (110,650)","  (110,650)","  (110,650)","  (110,650)","  (110,650)","  (110,650)","  (110,650)","  (442,600)",,,Amortisation of the prepaid derivatives transaction at the refinancing (non-cash)
(Net interest expenses - QSPESS Limited),,"  (872,527)",  -   ,  -   , - ,,,,,,,,,,,,,,,,,,,,,,,0.00,
(Net interest expenses - Tax/other),,"  (18,603)",  -   ,  -   , - ,,,,"  (11,231)","  (3,574)","  (7,150)",  -   ,  -   ,  -   ,  (0),  (29),,,,,,,,,,,,0.00,
(Net interest expenses - Hedge),,"  (337,457)","  (105,863)","  (444,331)","  (108,774)","  (111,640)","  (108,560)","  (106,683)","  (106,445)","  (103,265)","  (102,995)","  (100,023)","  (100,453)","  (100,806)","  70,783 ","  319,460 ","  100,656 ","  254,136 ","  348,493 ","  332,016 ","  332,658 ","  292,157 ","  187,322 ","  28,842 ","  (61,288)","  447,033 ",,,
(Net interest income - DMRRP INV I),,,,,,,,,,,,,,,"  317,537 ","  380,385 ","  456,978 ","  510,488 ","  540,931 ","  524,297 ","  530,364 ","  519,494 ","  468,232 ","  397,476 ","  369,637 ",#ERROR!,,"-1,563,023.44",Interest Income from DMRRP - INV related to the IC loan
EBT,,"  1,064,820 ","  1,013,134 ","  3,298,110 ","  1,287,449 ","  490,631 ","  1,745,428 ","  1,705,275 ","  905,064 ","  2,584,365 ","  1,199,864 ","  1,277,772 ","  1,149,567 ","  1,457,669 ","  (553,696)","  659,572 ","  434,564 ","  774,889 ","  1,849,274 ","  1,202,660 ","  1,054,860 ","  1,074,313 ","  472,422 ","  1,097,082 ","  389,159 ",#ERROR!,,,
(Delta DTA & CIT),,"  674,648 ","  168,662 ","  1,100,454 ","  142,232 ","  153,794 ","  129,418 ","  (293,081)","  64,986 ","  120,923 ","  140,246 ","  237,434 ","  121,128 ","  165,568 ","  (1,592,981)","  181,734 ","  172,942 ","  146,161 ","  153,491 ","  160,838 ","  176,734 ","  155,489 ","  202,710 ","  173,840 ","  200,714 ",#ERROR!,,"-1,510,135.00",
Direct result,,"  1,739,468 ","  1,181,796 ","  4,398,564 ","  1,429,681 ","  644,425.00 ","  1,874,846 ","  1,412,194 ","  970,050 ","  2,705,288 ","  1,340,110 ","  1,515,206 ","  1,270,695 ","  1,623,237 ","  (2,146,677)","  841,306 ","  607,506 ","  921,050 ","  2,002,765 ","  1,363,498 ","  1,231,594 ","  1,229,802 ","  675,132 ","  1,270,922 ","  589,873 ",#ERROR!,,"728,640.00",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"  970,050 ",  -   ,,,,,,,,,,,,,,,,,,,
Cash Flow statement,, 2018 - Actual , Q1 2019 , Q2 2018 - Q1 2019 - LTM ,,,,,,,,,,,,,,,,,,,,,,,,,Commentary
Rental income in period,,"10,809,498","2,728,382","10,920,775",,,,,,,,,,,,,,,,,,,,,,,,"-12,308,791.34",
Service Charge Income,,"46,055","-8,601","-34,479",,,,,,,,,,,,,,,,,,,,,,,,"-66,821.80",
(Maintenance & repair costs actual),,"-1,015,339","-292,677","-1,320,738",,,,,,,,,,,,,,,,,,,,,,,,"1,197,451.68",
(Owners society costs (VVE)),,"-630,781","-132,837","-553,016",,,,,,,,,,,,,,,,,,,,,,,,"283,150.44",
(Insurance costs),,"-85,029","-17,391","-44,691",,,,,,,,,,,,,,,,,,,,,,,,"125,052.45",Incl. prepayed amount recorded in balance sheet
(Landlord costs),,"-568,182",0,"-568,182",,,,,,,,,,,,,,,,,,,,,,,,,
(Property tax),,"-316,136","-98,936","-97,285",,,,,,,,,,,,,,,,,,,,,,,,"778,533.96",Incl. prepayed amount recorded in balance sheet
"(Water collection, sewerage costs)",,"-117,497","-32,635","-57,510",,,,,,,,,,,,,,,,,,,,,,,,"118,819.58",
(Agent costs),,0,0,,,,,,,,,,,,,,,,,,,,,,,,,"92,671.26",
(Brokerage costs),,"-157,427","-68,270","-253,035",,,,,,,,,,,,,,,,,,,,,,,,"202,783.50",
(Other costs),,"-105,672","-40,798","-79,693",,,,,,,,,,,,,,,,,,,,,,,,"124,310.51",
(Accountant costs),,"-122,608","-8,710","-87,395",,,,,,,,,,,,,,,,,,,,,,,,"153,092.80",
(Advisory costs),,"-165,685",0,"-10,890",,,,,,,,,,,,,,,,,,,,,,,,"244,544.45",
(Management fees),,"-472,384","-119,183","-477,299",,,,,,,,,,,,,,,,,,,,,,,,"553,222.21",
(Management fee Shareholder),,"-16,335","-4,500","-20,835",,,,,,,,,,,,,,,,,,,,,,,,"547,222.21",
Cash flow from rent,,"7,082,478","1,903,844","7,315,729",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Sales,,"3,561,500","1,019,250","4,580,750",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total cash flow from operations,,"10,643,978","2,923,094","11,896,479",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Net interest expenses),,"-4,538,598","-609,746","-2,578,318",,,,,,,,,,,,,,,,,,,,,,,,"6,320,801.15",
(Debt redemption SFA),,"-2,437,501",0,"-2,437,501",,,,,,,,,,,,,,,,,,,,,,,,,ABN AMRO deducted the redemption amount per 04-04-2018
(Debt redemption from sales),,"-2,632,732",0,"-2,632,732",,,,,,,,,,,,,,,,,,,,,,,,,"ABN redeemed the Disposals account per 04-04-2019 for EUR 799k, also including the Haagbeukhof sale "
(Other movements),,"-56,649","-273,564","-580,632",,,,,,,,,,,,,,,,,,,,,,,,,Primarily dividend upstream to DMRRP INV - I B.V.
Cash flow of period,,"978,498","2,039,784","3,667,296",,,,,,,,,,,,,,,,,,,,,,,,,Primarily dividend upstream to DMRRP INV - I B.V.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash per start of period,,"1,084,821","2,063,319","435,806",,,,,,,,,,,,,,,,,,,,,,,,,
(+) Cash flow of period,,"978,498","2,039,784","3,667,296",,,,,,,,,,,,,,,,,,,,,,,,,
Cash per period end,,"2,063,319","4,103,103","4,103,103",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bank account overview,,Per 31-12-2018,Per 31-03-2019,,,,,,,,,,,,,,,,,,,,,,,Per 30-6-2025,,,
ABN AMRO NL46 ABNA 0541 6088 35 RENT,,"415,424","499,736",,,,,,,,,,,,,,,,,,,,,,,#ERROR!,,,
ABN AMRO NL04 ABNA 0541 6188 06 MAINT,,"491,535","601,350",,,,,,,,,,,,,,,,,,,,,,,#ERROR!,,,
ABN AMRO NL88 ABNA 0541 6205 92 EXP,,"275,171","58,811",,,,,,,,,,,,,,,,,,,,,,,-16,,,
ABN AMRO NL93 ABNA 0541 6132 27 GEN,,"191,790","1,034,628",,,,,,,,,,,,,,,,,,,,,,,#ERROR!,,,
ABN AMRO NL57 ABNA 0541 6205 68 DEP,,"9,648","1,369,615",,,,,,,,,,,,,,,,,,,,,,,#ERROR!,,,
ABN AMRO NL11 ABNA 0114 3362 02 CAPEX ,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
ABN AMRO NL58 ABNA 0818 9180 39 DISPOSAL,,"679,751","538,962",,,,,,,,,,,,,,,,,,,,,,,#ERROR!,,,
Total,,"2,063,319","4,103,103",,,,,,,,,,,,,,,,,,,,,,,#ERROR!,,,
